Gene	JK_A2_2_ERCC_S27	JK_S1_3_ERCC_S23	JK_A2_3_ERCC_S28	JK_S2_3_ERCC_S25	JK_A2_4_ERCC_S29	JK_A2_1_ERCC_S26	JK_S1_2_ERCC_S22	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31	JK_S2_2_ERCC_S24
AMPD2	20.14043616	13.03469608	19.77190065	15.52391798	20.12718334	18.0592346	11.94601673	20.417333	21.04118757	14.86884342
LINC02273	3.552668098	5.004059249	3.533759782	5.26506599	4.363428325	3.423730772	4.534201476	3.732338449	3.781515841	4.963703565
AFTPH	11.13260548	11.12104283	10.9553676	11.61211588	10.57325354	11.25801015	12.66064168	9.588036225	10.94403534	11.259366
LRRN1	2.027100491	1.822495575	1.965458842	1.647144446	2.097310445	2.130036972	1.897682844	2.436391508	2.100105028	1.777089247
SMG1P6	1.345864382	1.248586245	1.301086299	1.373157962	1.492510105	1.514900163	1.488720244	1.065241483	1.443468327	1.157875236
QRICH2	3.354122534	0.855905764	3.175020737	1.521366462	3.537976311	2.847939469	0.734356819	3.128216612	3.506867046	1.552302092
CHM	6.491709362	4.426054831	6.292224529	6.256740298	6.244740255	6.813192518	5.245748993	5.911411114	6.092314065	5.553914508
MRPL48	13.02957147	9.634644861	13.82635044	13.34837662	13.61130512	12.98286911	9.760794215	14.69335798	12.99484828	12.61420156
AC068620.1	0.890965282	1.335059849	0.944527475	1.216893105	1.243654388	1.30424718	1.532377948	0.788784596	0.792298646	0.625676507
SNHG16	73.04794712	24.59625878	73.25852239	50.9416478	65.76893195	71.69809903	26.0481391	65.74934885	67.02508673	50.53751508
GPX1P1	6.947960946	3.799280712	6.473955953	4.647437259	7.088540282	5.692630018	3.439722494	8.89618862	7.985148503	3.823234498
ULK3	20.02300808	21.53442035	19.92926063	19.52823574	21.34969367	18.64952663	19.59498226	21.58307107	21.1880638	20.84765889
LRRC10B	3.114453531	4.368151148	2.942983642	3.503448203	3.563090768	2.563238323	3.639068134	3.419016368	3.340251131	3.645185818
AL031777.2	1.132474747	1.406453336	1.141771499	1.056836723	1.122926646	1.109871592	1.556315085	1.029785515	1.117234809	1.314226432
STMP1	24.88429951	19.70373656	24.10032636	22.40827147	22.18032645	24.11028899	22.58671902	23.37102412	22.57344332	21.30004567
PHLDB2	1.461338389	1.711263009	1.473231034	1.358430945	1.671730413	1.613910545	1.488598136	1.57735509	1.690074984	1.18462506
IQCH-AS1	1.215236585	0.341276849	1.129065783	0.916146741	1.022481999	1.33120268	0.436135314	1.247521864	1.235197382	0.834217217
AC245140.2	1.353112359	1.726461665	1.13573146	1.051314474	1.486910816	1.447026036	1.294010554	1.127632465	1.405012323	1.173546801
OSBPL3	12.33995497	7.890205683	11.71655588	8.558591706	11.73201632	12.65260193	8.739492156	11.02984768	11.28561593	8.337100057
MED28	20.86173299	20.34573174	20.96681141	20.56388568	20.7808075	21.24868262	21.31285454	19.96179749	20.37939475	20.89599916
TFAP2C	8.794032799	19.43535532	8.522211034	13.23779611	8.031992099	8.775004192	19.6648286	8.333677378	8.786708252	13.68976153
SNRNP27	18.58822431	15.98843316	18.37587716	16.3475178	17.84255164	19.8188215	15.49470939	16.90151172	17.94153333	15.41683379
AL109618.1	1.045512201	0.503562681	1.308486809	0.93232775	1.322178789	1.380166817	0.458720502	1.517334732	0.939541313	0.540821687
TXNRD3	6.468789383	5.515126733	7.24469296	8.630681317	7.541903171	7.810867031	6.08448165	7.479855797	8.079741973	8.666704674
RASA2	13.59846692	12.26599378	13.41814001	14.50300472	13.55652831	14.59518447	14.87089202	11.64321613	13.11415994	14.2434763
PRPF31	40.01413171	23.33819945	40.91000527	32.24829297	40.85715633	40.20888482	22.2353189	41.09777022	42.32569581	32.76642912
ZNF569	7.430683489	5.942213276	7.200565693	7.202353522	7.537596954	8.462528276	7.63438989	6.468335515	6.80247956	6.801900517
FRS3	4.957466347	7.796651259	4.852011476	4.700697416	5.046612749	4.633497088	7.368699189	5.711990547	4.898624756	5.252488083
PAPOLG	8.081981481	6.51269375	8.119558011	7.795200474	7.668292749	8.600860513	7.759140544	7.309555641	7.606990374	7.736296722
AC139887.1	1.208514447	2.815109064	1.682340183	1.125413378	1.285476167	0.884547126	2.024545291	1.692411817	1.265637904	0.723301731
KIF1C	8.306800451	6.303320574	8.344764305	7.716042326	8.532291124	7.901373341	5.933790434	8.685816605	8.622000984	7.854415451
FAM160B1	27.00529555	24.35780392	25.88047572	25.09892082	26.85647564	26.8339182	25.95929429	25.0042258	26.08566636	23.68155509
ACBD5	9.52505156	9.988659925	9.534470486	9.300729357	9.375819285	10.068957	10.87830442	9.291266334	9.623745436	9.537668437
UBL5	62.10597416	58.7889461	63.88947899	58.0195225	61.19874406	68.37610286	56.59753657	64.00013257	63.95941343	60.20464314
SRGN	7.293786863	4.874668811	6.827508764	5.983786867	8.665275707	7.558989408	5.614162241	8.32476911	8.672435756	6.153235402
ARAP1	16.27732958	23.01088042	15.91936642	19.26911827	17.57822052	14.27269781	20.56908059	17.34187045	17.56461414	18.68127708
LARP1	109.9201193	75.24511831	112.7481853	83.09662568	108.405761	112.0927287	72.16583457	109.4179847	107.051136	84.20336092
TNRC6A	15.3517344	12.51464756	15.01861597	13.34010049	16.44653167	15.26804803	12.33824169	16.35848028	16.26900412	13.89652502
MRPL3P1	1.125451014	0.574295445	1.092788251	0.856861202	2.023018691	1.291284672	0.934204507	1.292598804	0.977456531	0.881125749
NUP188	55.02192721	44.12769164	54.70074842	52.565021	57.14125957	52.18967978	40.887962	59.17285399	59.90623629	53.16874185
ZFP91	28.07306248	21.24853611	27.41259153	23.56243334	25.07500807	28.72787316	24.79413696	24.60546359	25.03106184	22.85678552
DCBLD1	1.825813193	1.907295905	1.566894592	2.048414278	1.87929704	1.393638997	1.933270827	1.861191164	2.008439399	1.831670571
AC107032.2	1.139635385	0.475710185	0.9109044	0.868599488	0.852193227	1.310779679	0.600020677	1.210723051	1.332595567	1.286202871
C19orf54	10.50075348	19.61320979	11.51144582	13.33806853	11.40946667	10.46133687	18.20177805	11.53992342	11.25646707	13.35659229
MFSD13A	10.56560281	6.220517565	10.3559482	8.431360004	11.22179796	9.620225368	5.427466134	11.06664788	11.02857642	8.065676586
DDX23	61.03332006	55.19395733	62.44551214	56.6103207	61.32983022	61.22500512	52.14024885	63.45124769	62.06261599	56.90038782
ARRDC2	8.61405108	7.812429701	9.10968357	7.55004844	8.688823897	8.989434372	7.168229943	8.49675063	8.793634807	7.42901124
KIAA0930	11.58128668	9.302379334	11.42391661	10.76825433	11.89253575	11.11245692	8.795721257	12.19063242	11.90845473	10.90502751
GIT2	20.31893172	18.33617177	20.20491161	18.33196132	20.56305022	20.73455573	18.09394256	20.71576615	20.70854534	18.66878205
AC008770.3	3.189135346	3.682140705	2.926121601	2.722354121	3.018237901	2.014801787	2.474444244	2.924435745	2.483166764	2.740509893
GIMAP2	33.80574196	41.91473593	33.56169567	32.43590059	34.83768412	33.69247971	44.11198442	34.80406258	34.88095662	33.60290422
RNU6-130P	1.372778546	1.09708219	1.97634138	1.302055931	1.502897021	1.116418703	0.749540392	0.648181827	1.664666307	2.811747701
HSD17B7P2	1.267171822	4.567162554	1.400148932	2.326135468	1.215404943	1.49381763	4.766616792	1.203254024	1.414220437	1.978573558
PSMD3	49.60181837	29.21826556	50.28845684	39.31870774	49.40630849	45.63013532	27.09310815	50.02581159	50.08851035	39.25264326
UVSSA	3.104695264	3.341454926	2.899292115	3.348503819	3.489587098	2.609923358	3.08403142	3.275666488	3.518008405	3.212815589
DARS1	46.40204115	65.91635492	45.09095127	66.99529431	44.52514286	50.33041749	73.82706814	44.79932021	45.9711946	67.35271824
LIMS1	13.54478936	14.30224686	12.50724326	19.94390096	12.83914043	13.62571383	15.38515246	11.78561947	12.08581987	18.09424971
CCDC102B	2.532486379	1.771478158	2.320897191	1.840264665	2.655155029	2.774038976	1.552026925	2.555010348	2.4876865	2.136554874
SBDS	20.79498975	12.3034911	21.5919445	15.76415987	20.39346469	21.84332369	13.66482303	20.0226099	20.38582674	16.00537138
DNASE2	11.61682953	16.05636111	11.83107036	12.55308226	11.89144003	11.36857575	14.91867716	12.49648073	12.2289315	12.53140777
SNX3	45.00595864	48.44015803	42.67036416	57.84169571	39.58085135	44.60488584	58.59265021	38.42006058	41.11435759	54.02428632
GTPBP3	18.16127504	10.46416889	17.36380387	12.87785541	17.21382543	15.40573609	9.594091327	16.64490713	16.90245342	13.03450718
AL162457.1	2.710093647	4.230417493	2.57229814	2.313427876	2.399375094	2.426312766	4.188244328	2.486911626	2.619537398	2.606490119
RNU6-195P	2.59442551	0.907105802	2.546661745	2.952919506	1.952732024	1.476950247	0.354140644	1.531255234	1.747814777	0.759135028
SMIM12	6.696494435	6.536564625	6.968091128	6.507741401	6.990259369	6.720942546	6.108148669	7.169899597	6.80542717	6.40138546
TMED4	49.06336856	55.59460412	48.66832676	47.58804419	47.31169286	47.25964862	56.53900153	46.45597425	46.83069315	46.56701047
TMEM159	7.418502536	10.66032694	7.360029472	9.249316579	7.705332133	7.239759098	11.67239826	7.342574131	7.699931179	8.936044528
ZNF282	16.61434282	12.82115273	16.4022408	13.65361313	16.45077419	14.09751525	10.86884893	16.05066686	16.4317089	13.64363798
TMEM107	7.86866934	23.85304665	7.926547683	16.14687401	9.059447947	8.38781753	20.92133164	8.748805352	8.782287459	15.2998868
NCBP2AS2	11.7378702	18.11887983	12.1669936	13.0720429	11.65436179	12.8737192	17.5258913	12.12472535	11.40881074	13.22029289
HSPBP1	35.22464167	11.02511754	35.19021757	20.30640181	32.13292438	30.49085975	9.606665889	35.86419747	34.08308017	19.35257603
SEC61G	29.84646559	19.82325588	29.87764868	34.73571118	28.32293339	31.09539994	29.19481209	23.46489531	29.09691388	33.98846121
FAM229B	2.789863417	3.111804178	2.763891693	3.096504397	2.927880232	2.623474541	3.555982987	3.055487464	2.9573766	3.259876388
BTF3	314.8741893	394.4590277	314.6125745	345.0586107	290.0123494	323.4253249	398.9324215	299.27189	295.8246452	346.3346445
AC005674.2	1.539736925	1.179089865	1.666044011	1.66588968	1.957030968	1.572528224	0.945787578	1.345715961	1.726004439	1.874155153
ZBTB12	8.307536397	7.447430392	8.277147983	8.225703522	7.392944147	6.818628176	7.020211352	8.069005232	7.686467351	8.009009899
SUZ12	34.96545514	25.37460191	33.70144697	34.16195022	32.00573007	36.27528747	31.30185731	30.2845835	30.93962666	33.28237114
AC008945.1	1.274542554	1.005582993	0.980436663	0.799341621	1.185335378	1.408831681	0.830823332	1.27114466	1.103959168	0.958973554
AC092535.1	4.713206343	2.716333307	6.975241222	5.983447794	6.40031818	4.245826204	4.750932949	4.878814754	4.542973948	2.864274856
AL158206.1	1.575066411	1.509534846	1.676347114	2.306858788	1.742959007	1.486399292	1.669777643	1.494941497	1.803317903	2.505531921
TRMT61A	11.15424649	2.731025318	10.78015559	4.835860822	11.08538385	9.122081271	2.795806633	10.64634118	10.63004974	4.37263664
MED17	3.137813803	2.160251234	3.073983095	3.20318045	3.556528839	2.852738382	2.352351556	2.88075857	3.291918255	3.155625969
AC073342.1	1.411626119	3.360035822	1.698652467	2.340670682	2.213907207	1.709628899	3.51828543	2.028344038	2.031961782	1.84533114
CES2	10.82039098	10.35268501	11.04699026	10.24907873	10.92553292	10.11969478	9.191268129	11.72835414	11.42184305	10.1078986
ZNF611	11.36371476	7.748686248	10.79630237	10.52536839	12.1844023	11.63338084	8.612056573	11.07375944	11.75008207	10.11029833
ZC3H18	25.01759935	25.59726828	26.52595724	24.11072418	26.61740742	24.77226113	22.8340056	26.60682642	26.50545712	24.95350565
NPIPB12	0.861090896	1.328244659	1.073949564	1.383635577	1.081342886	1.124577378	1.659380127	1.201800857	0.972521334	1.734058573
AC108693.1	1.418325983	0.948201534	2.527404581	1.924752124	2.149977683	0.958259386	1.340323966	0.734080924	1.455298554	1.532328112
ATG3	24.82915014	18.07146769	25.60063447	20.12121968	24.59545898	25.06882961	16.04327711	24.48151537	25.43111148	22.00596256
NLRC3	19.99174315	13.49592224	19.96052543	12.84645223	21.68572613	18.77967774	12.72288618	21.40563541	21.01920675	12.3767641
RNU6-10P	2.349261729	1.584104658	2.76721376	3.760142829	4.340141865	3.009113587	1.443040382	2.495802924	3.026823161	1.93331117
MFSD5	9.805689349	7.485244285	10.7420475	8.508660788	9.788833622	9.761268332	6.723980483	10.31906741	10.41364854	8.302992809
AL355032.1	0.860859606	2.289658121	0.718259393	0.918573705	1.060262967	0.472566273	1.586356036	1.295623721	1.043900333	0.566751494
YIPF4	2.75709101	2.052280131	2.540185918	2.718132971	2.702983235	2.679759749	2.605710872	2.231008777	2.654894828	2.796258477
ADAT1	25.88744476	19.36054789	25.17797126	24.48217948	26.01177841	26.04748419	18.38025766	24.69232045	25.27998124	24.57260847
LLPH	3.36047709	2.176862764	3.311780695	2.656898369	3.282555213	3.719951034	2.297698227	3.138141955	3.027283949	2.832070708
CTTNBP2NL	4.959154696	4.610355072	4.844187244	4.644969072	4.985939037	4.835745526	4.647431638	4.801702017	4.8180255	4.451956693
POLM	18.58626118	20.06811516	17.98242862	18.90400707	19.22953936	16.04444243	18.16109818	18.13257441	18.53020409	18.4879339
ATG4C	6.547898758	6.793785804	6.292203723	8.60975639	5.974513392	7.585352154	9.34875966	5.714744399	6.128216195	8.431968553
RPS28P4	1.795507178	3.699387266	2.731800012	3.576313624	2.57997322	1.533215018	4.227764737	2.940739219	2.812317206	2.758190602
SMN1	12.52800654	6.661500753	11.98694515	8.704285902	10.62366392	12.40420408	8.01911505	10.74664561	10.96364743	9.715948831
TCTA	10.38106026	7.30599993	11.36559552	9.080353616	12.11842034	10.58818573	6.817289911	12.56078822	11.9669115	9.870877831
TRPT1	12.18468491	21.2850016	11.83590023	15.69456041	12.24738531	10.62825668	18.13771735	12.72330047	12.56388006	16.37532729
IFNGR1	13.43422848	12.15675076	13.09874475	11.84059374	12.32119009	12.72708457	14.48124535	12.67537704	12.86465225	11.43132588
SOCS2	2.668249684	1.54000745	2.513370266	1.487336432	2.436219019	2.72306873	1.695852707	2.15507869	2.48027699	1.595952773
RPH3AL	2.500063172	3.122671241	2.720851354	2.726159326	2.906947398	2.488949976	2.734661699	2.638185416	2.60436224	2.768991633
LNPK	8.918542668	12.2833537	8.421600918	14.20739342	8.028888806	8.61343235	13.28608619	7.335867972	7.688236537	13.71520827
H1-5	2169.849023	1380.57487	2216.811427	1736.469657	2008.955872	2212.706289	1321.453819	2215.881755	2077.12852	1765.691878
THNSL1	6.403722803	2.800376144	6.375394227	5.469975465	5.767139186	7.000251779	3.057127525	5.767714575	5.929604669	5.035081313
TMEM126B	20.23826355	8.9145832	19.26570405	16.2228852	16.74287376	20.59567292	10.31779071	14.94705893	16.82762824	14.87396013
TBC1D23	8.103366603	7.630390652	8.152751663	8.534986264	7.541362273	8.639935148	9.45513589	7.04845774	7.542463153	8.113325834
ARV1	13.95038665	10.66293977	13.51644883	13.87136351	14.11939126	14.80067859	11.97506252	14.31798706	14.12829185	13.70403524
DLAT	31.36465833	15.04644122	30.37843055	23.86207195	28.19641954	31.4431641	15.2195549	28.01865399	27.97251806	23.49227323
TRIM45	1.857202349	2.560543603	1.931170476	2.776295503	2.216252448	1.710558045	2.368916475	1.869205343	2.214376533	2.691107912
ATP13A1	22.45475553	15.73485897	22.39550889	18.36840506	22.92188091	19.96356835	14.16225585	22.57777397	23.69614022	16.53514561
TLN2	3.356374214	2.672798807	3.350660865	3.025416829	3.399245019	3.290991832	2.51493515	3.317062317	3.447814757	3.029830586
SGSM2	13.94251077	20.15365622	14.29851203	16.92205593	16.68811091	12.93709105	17.90791518	15.30834594	16.61412962	16.53048427
TMEM87A	19.97199933	12.61469108	20.06558974	15.13980587	20.18750774	20.63730546	13.60984912	18.85297114	19.84471994	14.92625285
SNORD6	7.226916392	2.542487976	10.73333037	6.839699806	9.0944056	8.509343351	6.176212834	8.011527386	5.524842512	7.860843216
DCAF5	14.23368235	15.72366849	15.11644618	14.52764635	16.38191875	14.88734764	14.98349649	15.74751536	15.80229147	15.0851595
CCDC88B	6.629400071	3.186541759	6.882651329	4.101488619	7.584677718	5.368449147	2.580795716	6.873946611	7.292944961	3.872531218
EPHB2	2.76563883	3.233481379	2.89494411	2.380682146	3.041296094	2.751451877	3.012160013	3.223634875	3.230387028	2.539901849
ADRM1	72.24862708	38.08192774	72.95858552	47.394921	72.7198334	65.83805666	32.42007145	77.83530488	75.10897009	44.5366659
DGCR11	1.227619237	0.580564102	1.287210601	0.932846033	1.503236429	1.121864647	0.610228797	1.228808119	1.282125556	0.784850984
MIR298	2.51371005	1.271243988	1.295401941	0.670558805	1.741481923	0.919929011	4.632159625	0.834534103	0.952559054	2.482371542
GPR137B	6.414102746	7.413331885	6.735980862	6.510984162	6.576837782	6.34628843	6.303807983	6.436544383	6.803323886	6.451154114
RPL15P3	55.07681775	130.4546676	61.77607864	82.36424731	68.87269973	64.13326235	116.8710193	75.66442531	58.02091407	84.56208749
PPIP5K1	3.588345274	3.883245013	3.624769335	3.876997915	3.922073664	3.571602666	3.942493327	3.727527279	3.84155505	4.008493163
RBBP6	26.34713043	31.66473068	26.2555949	31.30056642	26.50228396	27.41476985	32.67435431	25.85133053	26.19606846	31.81692309
WDR36	24.36181996	13.10083546	24.03015762	21.19947685	21.70812456	25.46185468	15.08343692	20.45366358	22.4083841	21.4612901
NAP1L4	96.91320613	81.06309988	96.82855172	82.03052161	94.86787368	96.97476756	83.16648029	94.21247035	96.46245456	82.49537805
AL137779.2	1.297534484	2.238549681	0.743534277	1.377040402	0.777447287	1.283383107	2.240255771	1.266703549	0.978074028	1.200551713
RAP2B	6.982112388	6.721195302	6.832279426	6.697607103	7.014935516	6.903299707	6.634172914	7.117676006	7.004177379	6.229072444
POLR2C	50.39176396	47.64362388	53.02041959	49.82814518	52.0601739	50.97679185	47.28881779	54.87865982	50.98674935	51.8098898
RNF168	69.75639411	95.21848085	69.46834744	79.42365852	76.10727995	70.5129802	97.76308466	73.98588855	75.31041974	79.99887592
AL050331.1	2.47134415	4.307764539	3.35657921	3.142908041	4.192974133	3.949935962	4.647030122	4.04541411	2.476959337	3.254045092
DOLK	6.688783672	4.358706483	6.763429339	5.063139286	6.680065665	6.908338643	4.597169027	6.961157173	6.852546327	5.326207021
METTL26	16.71212931	12.01032332	16.13570839	14.91699235	15.90983486	13.91997845	9.932506019	16.42714497	17.62512775	14.51679264
COPG1	43.99089836	49.24272595	45.27062362	44.42581792	45.70648935	44.56573458	46.39088988	47.45298835	46.48700452	45.31678988
SHISA2	20.22980893	13.58491625	19.71860209	13.62394117	19.54103253	17.78250292	14.13541559	19.06948407	19.44756456	12.37419711
CENPP	4.442489197	1.919546571	4.416117624	3.399287609	4.540541317	4.159814049	1.96427847	4.415694734	4.424523664	3.377478062
AL669983.1	1.235116966	3.331352169	1.163883146	1.644766879	1.9471496	1.663393652	2.184980955	2.36188897	0.898640617	1.691343294
PGGHG	12.81960832	20.16112013	12.24361338	14.87432387	14.82550252	11.07225558	19.26571596	13.33970085	13.57472115	14.94592191
OCLN	1.105458462	1.226442631	1.00605929	1.362365512	1.196213119	1.025239306	1.169192201	1.244412455	1.065303695	1.182448907
GMFG	116.2254677	160.3482203	113.7347063	131.8156841	119.88217	117.8323468	156.3954672	121.2022778	120.2374152	133.4556426
NKX3-1	30.4867862	68.12974948	30.25954155	73.18459973	28.1038419	30.38600173	71.87996327	29.33853264	28.54771246	72.15638654
CDC37L1-DT	1.594821441	1.43384851	1.119137746	1.187598747	0.961221124	1.291477013	1.750816273	1.117518669	1.27556504	1.519089856
C4orf33	1.881717713	2.085545242	1.90756109	1.893214648	1.969477126	2.273730538	2.19595898	1.96122277	1.892767261	1.911063991
VPS37B	28.65778087	30.67709993	28.57242799	27.79374557	27.15121484	27.44318899	28.68709351	27.05296803	28.281077	28.20876752
LINC01036	1.457491671	0.775709952	1.217256378	1.165103725	1.272776115	1.519895124	0.898262416	1.134117087	1.294510908	1.142471131
GPN2	7.995106722	6.833863714	7.632378916	6.497161407	7.764806861	7.592125814	5.99913492	7.942832618	7.865503697	6.429865552
MCU	9.068731394	9.529072489	9.396370869	8.868680963	9.26677726	9.045207707	9.782036843	9.240963855	8.627395896	9.162599674
DBF4	22.28295639	16.49003829	22.27271112	21.97891786	19.4980329	24.82298186	19.91849761	18.63602557	20.31257254	20.95243832
ERICH1	7.911608076	8.408810094	7.488962816	9.39890688	7.878513262	7.666075091	8.570984063	7.715417214	7.856644096	9.368730062
TRA2A	38.34281816	24.46040473	41.11280147	32.45997982	41.14762134	40.75504254	25.92471571	38.98985261	39.53825197	32.11083272
PRMT3	7.056399334	2.611703205	6.910174886	5.691446454	6.811278181	7.592345107	2.775137709	6.284589588	6.527514554	5.411597815
LUC7L3	26.37111015	32.39819371	25.93505451	25.67644233	26.71363426	27.92241949	33.79480992	24.23696295	25.05528881	25.90022691
MIR6767	0.471320634	1.977490648	1.295401941	1.072894087	0.773991966	0.689946758	1.93006651	1.001440923	0.952559054	1.241185771
ZNF34	1.404338547	1.066412335	1.647590992	1.208343145	1.612483262	1.629859982	1.044765348	1.456273897	1.655444509	0.928237222
SLC25A37	17.73169024	20.05667955	17.54718261	18.85085475	18.27711122	17.21913356	19.96164679	16.84072671	17.84417131	18.01207091
ANKRD40	18.81435945	10.05630146	17.44852488	13.83932934	17.16214783	18.37760248	10.56301403	17.36776445	16.78296556	14.12198885
SUZ12P1	13.37422655	16.6149054	11.96941904	15.94726388	13.61928171	13.06181256	17.93972077	11.82256646	13.14043002	14.77223236
VIPAS39	11.39480016	15.9302672	11.00631214	13.75399757	11.37641565	10.80148413	14.3538007	11.20107463	11.35668565	13.74864947
ZC3H12B	1.567604462	1.999215324	1.558297736	1.888950105	1.600038518	1.705215711	1.915170738	1.582578453	1.559592276	1.995658856
COLGALT1	39.65365541	20.49993732	39.61456757	28.26753787	38.92243667	37.6346061	19.9516061	39.6878516	38.78145552	27.61215763
H4C13	803.6402478	339.9473587	783.2184716	582.8143656	729.2424304	812.306825	364.4683736	806.4144007	757.6167357	574.7299487
MCM4	120.8029077	70.18568886	119.9798526	118.9147792	121.4554928	118.2459553	70.77064341	122.0857755	122.6508024	120.7656249
MYO19	16.34808817	11.65559088	16.7302477	13.65637433	17.89763766	15.06517908	10.23005826	16.48433721	17.20345204	13.87500026
AAMP	45.32568038	33.12203498	47.34861217	38.34887401	45.33137968	45.82421714	32.64958326	46.61626618	44.80804218	39.64139577
PRKCA	54.87348557	65.24193821	55.26536299	59.41821268	53.81635905	55.04796089	61.5278677	54.48304859	52.97307991	60.55465311
PIGH	17.75059778	16.24265991	16.67375321	17.86553372	17.17051761	18.32928858	19.52219354	15.84058275	17.58885943	17.03588313
CTDSP1	32.0943505	30.45052885	32.62005321	30.32511955	33.08830324	28.92650169	28.4022676	33.99508517	32.51988945	30.64540051
AC091429.1	2.220250812	5.098862214	2.473117597	2.636913271	3.477613672	3.214805683	3.972794353	3.871417804	2.019249607	2.160794481
TTC28-AS1	3.269036884	2.974214058	3.24947182	3.188931979	3.355211002	3.351804561	3.298679667	3.143240826	3.32294525	3.045148975
PDHA1	23.38114704	20.53466896	24.51320305	22.00680072	23.66518202	24.34484926	20.59697843	23.95333245	24.01629945	22.02831616
NDUFS8	21.64822314	22.67254089	21.55388833	20.97679073	21.55436611	20.27317514	21.23575783	21.85762171	21.64963318	19.58207586
EP400P1	4.679967934	3.139759481	4.431981657	4.019569703	5.515647966	4.294732054	2.912794311	4.776501254	5.011347349	4.347359659
NEU3	24.87370998	24.3880825	24.8137374	27.3833189	25.58651127	24.58471104	25.07230943	24.15912184	25.13380644	28.693742
FAAP20	11.46550419	10.02119535	11.34809459	10.57799776	12.02988853	10.18947721	8.878823161	12.31487573	12.53770224	10.6342476
EIF4A2	62.35612396	73.28949758	61.69391261	73.56887324	61.18052695	64.08591251	83.10119295	58.7636084	59.83937709	74.89365114
FLJ37453	1.499281166	3.187105833	1.339477485	1.843833349	1.61965565	1.385659347	3.402786084	1.464568543	1.741029892	1.923929959
DPH5	16.6930606	14.85113402	17.3228831	14.52929174	16.83136767	19.03558525	16.66347372	17.16998835	17.80698629	13.79734067
CLIP1	20.03889861	17.23514173	19.55418165	15.9106038	20.71112444	19.80111024	15.94842714	20.45335399	20.47526733	16.8486123
PPP2R2A	30.71253245	23.23070838	29.34124786	27.81374679	29.20473127	31.87391048	25.90805568	28.22482405	28.94827693	26.87179322
GNB1	189.7451739	169.5885119	187.4562043	174.6124103	188.1940788	189.2936442	168.3301131	184.9219924	185.4764685	173.1826284
NSD1	21.61695237	16.33215708	22.11125424	18.95786248	23.16723767	22.31579059	15.30793435	22.98584116	23.10624001	19.47779132
AGO4	8.637421598	12.14177082	8.606493331	12.71221628	8.956466437	8.908965978	13.0316647	9.146365235	9.056646448	12.68153229
RHOBTB2	8.431383352	4.521936841	8.408938957	5.964328221	9.547830481	7.975123357	3.978429691	9.764140341	9.539491435	5.856501023
AL008729.2	1.062879514	0.597248761	1.29109828	1.105784075	1.472711986	1.215551019	0.571267043	1.517334732	1.369429506	0.874690466
DNAAF3	1.5114251	1.261372378	1.788302939	1.238132737	1.80308741	1.518001927	0.766031574	1.972927905	1.701291839	1.302941635
TNK1	2.702318819	2.881993096	2.732590349	2.817979345	2.913006278	2.82873751	2.460494783	2.710498335	2.892459907	3.074472548
MRPL22	13.2894693	12.74048497	13.92159035	13.67745535	14.13578141	13.61918225	13.07797982	14.02374988	14.02570406	14.01696296
CCDC186	3.3013198	3.976063859	3.331688812	4.175125772	3.315000317	3.376288553	4.442070547	3.100379998	2.994016473	4.152498585
ARID5B	40.35457504	52.92890745	40.46710778	47.72674545	40.63922712	41.8370011	54.64571652	39.24270747	39.727256	46.42573757
AC079944.2	1.583911305	1.654964925	1.689216233	1.735778922	1.871710817	2.005294847	2.051024357	2.023802047	1.635183117	2.141919132
FAM192BP	1.422621337	1.890739089	1.384287789	1.214397835	1.90450779	1.5090699	1.722369064	2.212282005	1.475091448	1.411672355
CEP170B	1.390510018	0.986858682	1.328241281	1.442887432	1.53934994	1.181473484	0.889536011	1.597288228	1.557538215	1.530303901
AP000763.3	1.505215599	0.50748263	0.831096198	0.88337088	1.622138851	1.170568352	0.346718535	1.449190957	1.19782875	1.238708354
LRRC40	11.99715203	7.094760678	12.32848237	11.18462839	9.828037274	12.49006677	9.32786277	9.369795483	10.21245162	10.75432389
ASAH1	7.431100593	6.481720217	7.595736619	6.689232953	7.1904393	7.620666284	6.960344384	7.211305139	7.510944734	6.623982134
COG5	10.29110946	11.16073072	9.833523674	10.61408695	10.10346655	10.21718867	11.87678432	9.075442845	9.631078804	10.50739277
BCL11B	55.42954677	42.90978475	53.98520754	54.896498	53.02135395	51.52217329	42.77469166	52.78467343	53.3178399	53.56931396
DDR1	4.389751006	7.719677811	4.403367254	5.680674154	4.622866672	3.881089125	6.728245357	4.808429377	4.735238112	5.276336169
SNX29	5.424637342	4.280858868	5.275710131	4.986732429	6.001681248	5.262043468	4.057083403	6.034621984	5.930038499	4.920398749
ZNF688	2.87130687	2.220759649	3.057213565	2.595538868	2.856913681	2.496215991	1.956252568	3.263541184	2.744403978	2.707561405
SLC18A2	1.203533903	0.729360187	1.090156439	1.342743206	1.285295749	1.427283799	1.001295111	1.120804589	1.26546027	1.203574081
AC092275.1	1.852235458	2.048654433	1.977712887	2.923386137	1.870972946	2.36029284	2.291851666	2.05271323	2.019845322	3.193324997
RNU6-177P	0.453192918	0.543266661	1.067638963	1.289536163	0.744223044	1.54795747	1.11349991	1.123411292	0.915922167	1.193447857
AC053503.4	0.765772519	2.48740962	1.192980224	1.51824635	0.760605312	1.012500484	2.852614025	1.128458063	1.767326546	1.301033303
