Gene	JK_A2_2_ERCC_S27	JK_S1_3_ERCC_S23	JK_A2_3_ERCC_S28	JK_S2_3_ERCC_S25	JK_A2_4_ERCC_S29	JK_A2_1_ERCC_S26	JK_S1_2_ERCC_S22	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31	JK_S2_2_ERCC_S24
ALPK1	0.878549025	2.547653494	0.883728848	1.890373481	0.827854002	0.979864027	2.419007556	0.98964811	1.102553707	1.615840402
R3HDM4	28.86827993	21.45767722	29.48807366	24.76195519	29.98521288	28.03666065	19.78237888	30.048782	29.69152458	25.21839827
ANXA7	26.4502902	22.5316679	27.05792488	26.24045097	28.57719006	27.12152559	20.66743345	28.38714038	27.99580027	25.55531898
GPATCH1	8.483082136	10.34028328	9.220974556	9.347055978	9.55665417	9.463074204	9.883198615	9.064541523	9.325585972	9.633354516
AC011374.2	0.836310378	1.154699862	0.844368457	1.453302352	0.91966726	1.399131576	1.027411831	0.920208706	1.086569263	1.573112511
DBR1	16.96777891	11.26492606	17.31698098	14.00062297	16.51493	17.71087972	11.25267928	16.05741425	16.53201663	14.00336063
ZXDA	2.670014777	2.912215743	2.551119797	2.980261354	2.766273255	2.510625613	2.778019388	2.142640439	2.454929728	3.047891147
UBXN4	55.14363931	48.8585597	55.71352138	58.87616552	52.98489154	57.35224356	53.42358588	50.96168475	53.86972787	60.03507945
USP24	16.42785161	16.05010928	15.92179211	16.53672519	17.41302759	16.3926239	16.33765559	16.24714263	16.81972329	16.48401967
TMEM143	7.080873379	10.10256006	6.33691342	6.859061011	7.213591496	5.486372402	8.90277158	6.876090846	7.05195567	7.283954055
MPLKIP	2.912667178	3.377983238	2.850956716	3.420052117	2.704455997	2.554018199	3.557982842	2.766097039	2.8050972	3.368630583
DOCK4	1.848869402	1.131279817	1.843263182	1.303708247	1.883321766	1.723559083	1.192283394	1.864289041	1.879345529	1.178826823
AC006511.2	0.78553439	1.476697562	0.64489707	1.300477682	1.28998661	0.940836488	1.228224143	0.960978664	1.039155331	1.002978401
DNAJB6	19.05844824	11.92100531	18.95032441	14.82747146	18.38860417	18.96375182	12.01220073	17.88108355	18.35988446	15.2663365
AZIN2	0.99132076	1.405730356	1.091737516	1.155819554	1.267266257	0.99496426	1.306953383	1.158758022	1.290059457	1.174400581
PRNP	17.24524889	11.51579824	17.99554039	13.96579346	17.5283726	18.13408704	13.01407588	17.24287477	16.53753568	13.89958596
FAM174B	4.35603556	3.813298018	4.562475566	3.497000217	5.075235337	4.468933175	3.720788741	4.820043358	5.172498087	4.162707015
AL732366.1	18.06729098	32.48734636	15.17470845	22.12844055	17.60831722	21.3883495	40.14538342	18.19284344	15.05043305	28.54727273
